word,weight
ourie,24689
naice,24688
likes,24688
eniac,24688
japes,24680
jaspe,24680
foals,24679
loafs,24679
melts,24675
smelt,24675
viers,24670
vires,24670
siver,24670
rives,24670
sevir,24670
wairs,24669
dalts,24669
copes,24668
copse,24668
scope,24668
paxes,24664
ecrus,24661
yelts,24661
cruse,24661
sucre,24661
lytes,24661
curse,24661
style,24661
crues,24661
cures,24661
pareu,24660
spred,24659
james,24658
comes,24646
jasey,24644
exams,24642
maxes,24642
codas,24640
anger,24639
loner,24639
enrol,24639
renga,24639
regna,24639
range,24639
nerol,24639
derms,24637
assed,24637
deads,24637
sades,24637
aedes,24637
merds,24637
eased,24637
lunas,24632
ulnas,24632
harns,24632
sharn,24632
cosey,24632
ulans,24632
aweto,24629
shine,24626
adieu,24626
brane,24624
yerds,24623
dreys,24623
dyers,24623
stark,24621
skart,24621
strak,24621
karts,24621
karst,24621
skite,24615
kites,24615
steik,24615
tikes,24615
agile,24608
aftos,24606
softa,24606
fatso,24606
hails,24601
hilsa,24601
baile,24593
enows,24591
sowne,24591
owsen,24591
doges,24585
lande,24576
laden,24576
naled,24576
laned,24576
eland,24576
bodes,24570
dobes,24570
ovels,24567
loves,24567
vegas,24567
voles,24567
slove,24567
solve,24567
tenor,24566
noter,24566
trone,24566
ronte,24566
awols,24566
toner,24566
astun,24559
saunt,24559
aunts,24559
staun,24559
tuans,24559
tunas,24559
tansu,24559
cains,24552
incas,24552
tolar,24541
rotal,24541
teloi,24535
toile,24535
oilet,24535
naker,24528
saith,24528
anker,24528
nerka,24528
ranke,24528
taish,24528
praus,24524
supra,24524
hoaed,24523
pomas,24509
oarer,24509
pasmo,24509
celts,24507
plate,24506
pleat,24506
patel,24506
lepta,24506
pelta,24506
palet,24506
leapt,24506
petal,24506
tepal,24506
rangs,24503
grans,24503
anted,24503
gnars,24503
muras,24502
masur,24502
umras,24502
arums,24502
musar,24502
rusma,24502
ramus,24502
singe,24497
segni,24497
alike,24497
alkie,24497
sengi,24497
ordie,24497
soapy,24495
poyas,24495
stove,24494
votes,24494
barns,24488
brans,24488
saury,24488
metal,24484
bines,24482
benis,24482
beins,24482
vaire,24479
aiver,24479
doeks,24474
moyas,24473
mayos,24473
sigla,24472
gilas,24472
glias,24472
galis,24472
creds,24469
padre,24468
drape,24468
pared,24468
raped,24468
basil,24457
labis,24457
bails,24457
sevak,24456
cameo,24455
comae,24455
armed,24446
